Time (s),X (Yellow Actual),Y (Yellow Actual),X (Yellow Predicted),Y (Yellow Predicted),X (Red Actual),Y (Red Actual),X (Red Predicted),Y (Red Predicted)
0.18991541862487793,,,,,,,,
0.27208542823791504,,,,,,,,
0.2784004211425781,,,,,,,,
0.28693509101867676,112,462,0,0,,,,
0.3161778450012207,,,,,,,,
0.3486440181732178,,,,,,,,
0.3840503692626953,,,,,,,,
0.4163029193878174,,,,,,,,
0.4479830265045166,,,,,,,,
0.484100341796875,,,,,,,,
0.5153305530548096,,,,,,,,
0.5481212139129639,,,,,,,,
0.5842001438140869,,,,,,,,
0.6162781715393066,,,,,,,,
0.6495137214660645,266,178,2,1,,,,
0.6843032836914062,269,179,12,8,,,,
0.7176017761230469,274,182,41,27,,,,
0.7482039928436279,280,184,97,64,,,,
0.7839176654815674,287,186,173,113,,,,
0.817180871963501,293,187,250,162,,,,
0.8493149280548096,296,187,312,200,,,,
0.8867354393005371,298,187,352,224,,,,
0.9163327217102051,299,187,374,236,,,,
0.9493634700775146,300,187,382,240,,,,
0.9841914176940918,299,187,381,238,,,,
1.0165860652923584,298,186,373,233,,,,
1.0490059852600098,297,185,361,225,,,,
1.0848579406738281,296,185,349,217,,,,
1.117140293121338,295,184,336,209,,,,
1.1484920978546143,295,183,324,201,,,,
1.184206485748291,295,183,315,195,,,,
1.216050386428833,295,182,307,189,,,,
1.2495965957641602,295,181,301,185,,,,
1.2840309143066406,295,180,297,181,,,,
1.3160984516143799,295,180,294,179,,,,
1.3480005264282227,295,179,292,177,,,,
1.384329080581665,295,179,291,176,,,,
1.4161360263824463,295,179,291,175,,,,
1.4493205547332764,295,179,291,175,,,,
1.480625867843628,295,179,291,176,,,,
1.5173826217651367,296,179,292,176,,,,
1.5482354164123535,296,179,293,176,,,,
1.5801551342010498,296,179,294,177,,,,
1.6169588565826416,296,179,294,177,,,,
1.649449348449707,296,179,295,178,,,,
1.680652379989624,296,180,295,178,,,,
1.7165892124176025,297,180,296,179,,,,
1.7487764358520508,297,180,296,179,,,,
1.7787132263183594,297,180,297,180,,,,
1.8164546489715576,297,180,297,180,,,,
1.8483285903930664,297,180,297,180,,,,
1.8802320957183838,298,181,297,180,,,,
1.9164302349090576,298,181,298,181,,,,
1.9489450454711914,298,181,298,181,,,,
1.9820234775543213,298,182,298,181,453,254,0,0
2.0175230503082275,298,182,298,182,,,,
2.0495402812957764,297,182,298,182,,,,
2.081099271774292,297,182,297,182,,,,
2.1164422035217285,297,183,297,182,,,,
2.149158239364624,297,183,297,183,,,,
2.1800973415374756,297,183,296,183,,,,
2.2168188095092773,297,184,296,183,488,257,4,2
2.2483320236206055,297,184,296,184,,,,
2.2802727222442627,297,184,296,184,503,258,24,12
2.316107988357544,297,184,296,184,505,257,77,39
2.348144292831421,297,184,296,184,,,,
2.3826851844787598,297,184,296,184,,,,
2.4164438247680664,297,184,296,184,543,250,184,88
2.4480645656585693,297,184,296,184,543,248,328,154
2.481172800064087,297,184,296,184,544,244,471,216
2.516162157058716,297,184,296,184,541,243,580,264
2.549410581588745,298,184,297,184,543,240,650,292
2.582261562347412,299,185,298,184,544,238,686,305
2.616541862487793,299,185,298,184,545,237,699,307
2.6502795219421387,300,185,299,185,546,237,695,303
2.6811816692352295,301,185,300,185,546,237,681,295
2.716240882873535,301,185,301,185,545,239,661,287
2.7496449947357178,301,185,301,185,546,240,639,278
2.782367467880249,301,185,301,185,546,241,618,270
2.8166873455047607,301,185,301,185,547,238,599,261
2.8502540588378906,301,185,301,185,547,240,583,254
2.8815104961395264,302,185,302,185,546,241,570,249
2.918818950653076,303,185,302,185,546,241,559,246
2.950164556503296,303,185,303,185,546,242,552,243
2.980177402496338,303,185,303,185,546,242,546,242
3.0170395374298096,303,185,303,185,546,242,543,241
3.05108642578125,304,185,304,185,546,242,541,240
3.081345796585083,304,185,304,185,545,242,540,240
3.117356300354004,305,185,305,185,546,242,540,240
3.1494381427764893,305,185,305,184,546,240,540,239
3.1811633110046387,305,185,305,184,546,240,541,239
3.2171053886413574,305,185,305,184,546,241,542,239
3.249549627304077,305,185,305,184,546,241,542,239
3.281364679336548,305,185,305,184,546,241,543,239
3.317857027053833,305,185,305,184,546,240,544,239
3.348966121673584,305,185,305,184,546,241,544,240
3.3815414905548096,305,185,305,184,546,241,545,240
3.419268846511841,305,185,305,184,546,242,545,241
3.452052354812622,305,185,305,184,546,243,545,242
3.482272148132324,305,185,305,184,546,244,546,243
3.516887903213501,305,185,305,184,546,244,546,243
3.550344944000244,305,185,305,184,546,245,546,244
3.580742359161377,305,185,305,184,546,245,546,245
3.6129984855651855,305,185,304,185,546,245,546,245
3.649399757385254,305,185,304,185,545,245,545,245
3.681302547454834,305,185,304,185,545,245,545,246
3.712630271911621,305,185,304,185,544,245,544,245
3.750195264816284,305,185,304,185,544,244,544,245
3.781769037246704,305,185,304,185,543,245,543,245
3.812685251235962,305,185,304,185,544,245,543,245
3.848043203353882,305,185,304,185,544,244,543,244
3.880579948425293,305,185,304,185,544,245,543,244
3.9142677783966064,305,185,304,185,544,245,543,244
3.9506583213806152,305,185,304,185,544,244,543,244
3.980142831802368,305,185,304,185,545,245,544,244
4.0122597217559814,305,185,304,185,545,245,544,244
4.048130512237549,305,185,304,185,546,246,545,245
4.080479860305786,305,185,305,185,546,245,545,245
4.112423419952393,305,185,305,185,546,245,546,245
4.148616552352905,305,185,305,185,546,245,546,245
4.180241584777832,305,185,305,185,546,246,546,245
4.212299346923828,305,185,305,185,546,246,546,245
4.2502875328063965,305,185,305,184,546,245,546,245
4.282969951629639,305,185,305,184,546,245,546,245
4.31488823890686,305,185,305,184,546,246,546,245
4.351401329040527,305,185,305,184,546,245,546,245
4.3821704387664795,304,185,304,184,546,245,546,245
4.412337064743042,303,185,303,184,546,245,546,245
4.450469493865967,302,184,302,184,546,245,546,245
4.480111360549927,300,183,301,183,545,246,545,245
4.5124194622039795,297,181,298,182,545,247,545,246
